iso_code,location,continent,year,total_vaccinations,fully_vaccinated_per_hundred,new_cases,new_deaths,population,cases_per_million,deaths_per_million,health_spending_pct_gdp,region,income_group
AFG,Afghanistan,Asia,2020,,,51848.0,2158.0,41128772,1260.626016259372,52.46935162566974,15.53361416,South Asia,Low income
ALB,Albania,Europe,2020,,,55380.0,1134.0,2842318,19484.097134803356,398.9701363464609,7.50389433,Europe & Central Asia,Upper middle income
DZA,Algeria,Africa,2020,,,97857.0,2722.0,44903228,2179.286531471635,60.61924991227802,5.63831711,Middle East & North Africa,Upper middle income
ASM,American Samoa,Oceania,2020,,,0.0,0.0,44295,0.0,0.0,,East Asia & Pacific,High income
AND,Andorra,Europe,2020,,,7806.0,83.0,79843,97766.86747742444,1039.5400974412285,8.78673935,Europe & Central Asia,High income
AGO,Angola,Africa,2020,,,17149.0,400.0,35588996,481.86242736378404,11.239429176366762,3.27488494,Sub-Saharan Africa,Lower middle income
AIA,Anguilla,North America,2020,,,12.0,0.0,15877,755.8102916168042,0.0,,,
ATG,Antigua and Barbuda,North America,2020,,,155.0,5.0,93772,1652.9454421362454,53.32082071407243,5.72944784,Latin America & Caribbean,High income
ARG,Argentina,South America,2020,43403.0,0.0,1629908.0,47507.0,45510324,35814.02760393444,1043.8730341713233,10.45030594,Latin America & Caribbean,Upper middle income
ARM,Armenia,Asia,2020,,,157834.0,2768.0,2780472,56765.182314369646,995.5144306434303,12.24056244,Europe & Central Asia,Upper middle income
ABW,Aruba,North America,2020,,,5228.0,47.0,106459,49108.10734649019,441.48451516546277,,Latin America & Caribbean,High income
AUS,Australia,Oceania,2020,,,28296.0,920.0,26177410,1080.9319944180882,35.14480615156351,10.66040134,East Asia & Pacific,High income
AUT,Austria,Europe,2020,,,344732.0,7049.0,8939617,38562.27845107905,788.5125279975641,11.31641102,Europe & Central Asia,High income
AZE,Azerbaijan,Asia,2020,,,211764.0,2416.0,10358078,20444.333398532042,233.24790564427107,5.84817696,Europe & Central Asia,Upper middle income
BHS,Bahamas,North America,2020,,,7788.0,169.0,409989,18995.631590115834,412.20618114144526,7.59303093,Latin America & Caribbean,High income
BHR,Bahrain,Asia,2020,58643.0,,91518.0,351.0,1472237,62162.54584010591,238.41270121590478,4.7196188,Middle East & North Africa,High income
BGD,Bangladesh,Asia,2020,,,509148.0,7452.0,171186368,2974.232153812621,43.53150363000867,2.27063942,South Asia,Lower middle income
BRB,Barbados,North America,2020,,,347.0,7.0,281646,1232.043061147682,24.853894605284648,7.27405739,Latin America & Caribbean,High income
BLR,Belarus,Europe,2020,0.0,,184922.0,1376.0,9534956,19394.111519759506,144.31110117340867,6.40607214,Europe & Central Asia,Upper middle income
BEL,Belgium,Europe,2020,926.0,0.0,638760.0,19374.0,11655923,54801.32289823809,1662.1592301184555,11.26481915,Europe & Central Asia,High income
BLZ,Belize,North America,2020,,,10490.0,228.0,405285,25883.020590448697,562.5670824234797,5.35447645,Latin America & Caribbean,Upper middle income
BEN,Benin,Africa,2020,,,3205.0,44.0,13352864,240.02341370360696,3.2951732302523262,2.7123611,Sub-Saharan Africa,Lower middle income
BMU,Bermuda,North America,2020,,,561.0,9.0,64207,8737.365084803838,140.17163237653216,,North America,High income
BTN,Bhutan,Asia,2020,,,597.0,0.0,782457,762.9812245273542,0.0,4.08451509,South Asia,Lower middle income
BOL,Bolivia,South America,2020,,,153590.0,9083.0,12224114,12564.50978778503,743.0395364441137,8.0225811,Latin America & Caribbean,Lower middle income
BES,Bonaire Sint Eustatius and Saba,North America,2020,,,182.0,3.0,27052,6727.78352802011,110.89753068165015,,,
BIH,Bosnia and Herzegovina,Europe,2020,,,109330.0,3923.0,3233530,33811.34549548017,1213.2251749635848,9.70311832,Europe & Central Asia,Upper middle income
BWA,Botswana,Africa,2020,,,13890.0,39.0,2630300,5280.766452495914,14.827206022126754,6.1213398,Sub-Saharan Africa,Upper middle income
BRA,Brazil,South America,2020,,,7448560.0,190488.0,215313504,34594.02156215896,884.7006641998636,9.62326527,Latin America & Caribbean,Upper middle income
VGB,British Virgin Islands,North America,2020,,,93.0,1.0,31332,2968.211413251628,31.916251755393844,,Latin America & Caribbean,High income
BRN,Brunei,Asia,2020,,,152.0,3.0,449002,338.5285588928334,6.681484714990134,2.45178461,East Asia & Pacific,High income
BGR,Bulgaria,Europe,2020,4608.0,,197384.0,7123.0,6781955,29104.29219893084,1050.2871222236067,8.48235893,Europe & Central Asia,High income
BFA,Burkina Faso,Africa,2020,,,6344.0,78.0,22673764,279.7947442691915,3.440099314785141,6.57714844,Sub-Saharan Africa,Low income
BDI,Burundi,Africa,2020,,,809.0,2.0,12889583,62.763861328950675,0.15516405767354927,10.71837234,Sub-Saharan Africa,Low income
KHM,Cambodia,Asia,2020,,,364.0,0.0,16767851,21.708208165733343,0.0,5.28458023,East Asia & Pacific,Lower middle income
CMR,Cameroon,Africa,2020,,,26277.0,448.0,27914542,941.337314436325,16.048982641377386,4.25051928,Sub-Saharan Africa,Lower middle income
CAN,Canada,North America,2020,96170.0,0.0,539241.0,14734.0,38454328,14022.89490015272,383.15583098994733,13.02419472,North America,High income
CPV,Cape Verde,Africa,2020,,,11698.0,112.0,593162,19721.42517558441,188.8185689575529,6.63319778,Sub-Saharan Africa,Lower middle income
CYM,Cayman Islands,North America,2020,0.0,,318.0,2.0,68722,4627.339134483863,29.102761852099764,,Latin America & Caribbean,High income
CAF,Central African Republic,Africa,2020,,,5814.0,63.0,5579148,1042.0945993904445,11.292046742620915,8.98555374,Sub-Saharan Africa,Low income
TCD,Chad,Africa,2020,,,1986.0,104.0,17723312,112.05580537091487,5.867977723351031,4.4533143,Sub-Saharan Africa,Low income
CHL,Chile,South America,2020,8648.0,,598394.0,16404.0,19603736,30524.487781308624,836.7792751340867,9.68910599,Latin America & Caribbean,High income
