iso_code,location,continent,year,total_vaccinations,fully_vaccinated_per_hundred,new_cases,new_deaths,population,cases_per_million,deaths_per_million,health_spending_pct_gdp,region,income_group,vaccination_percentile,spending_percentile,mortality_percentile,exploratory_equity_index,rank
TUV,Tuvalu,Oceania,2022,25591.0,82.24,2779.0,0.0,11335,245169.8279664755,0.0,18.38210106,East Asia & Pacific,Upper middle income,0.875,0.9945652173913043,0.9864130434782609,0.9383152173913043,1
CUB,Cuba,North America,2022,42712334.0,89.22,147220.0,210.0,11212198,13130.342507329962,18.729601457270014,11.78683186,Latin America & Caribbean,Upper middle income,0.967391304347826,0.9510869565217391,0.6847826086956521,0.8785326086956522,2
NIC,Nicaragua,North America,2022,12098543.0,85.36,1834.0,29.0,6948395,263.9458464868506,4.173625707807342,8.95364857,Latin America & Caribbean,Lower middle income,0.9239130434782609,0.782608695652174,0.8804347826086957,0.8755434782608695,3
LBR,Liberia,Africa,2022,4460668.0,70.36,1822.0,7.0,5302690,343.5991921081564,1.3200847117217864,13.47386169,Sub-Saharan Africa,Low income,0.7065217391304348,0.9728260869565217,0.9402173913043478,0.8432065217391305,4
KHM,Cambodia,Asia,2022,45217130.0,87.11,18046.0,48.0,16767851,1076.2261663703953,2.862620857019781,4.71089554,East Asia & Pacific,Lower middle income,0.9510869565217391,0.33152173913043476,0.907608695652174,0.7831521739130434,5
JPN,Japan,Asia,2022,373165262.0,83.22,26534616.0,37426.0,123951696,214072.23020167468,301.9402009634463,11.42183685,East Asia & Pacific,High income,0.8967391304347826,0.9456521739130435,0.32608695652173914,0.7377717391304348,6
CHN,China,Asia,2022,3478094000.0,89.35,62314792.0,33296.0,1425887360,43702.46468837483,23.351073117023773,5.36948681,East Asia & Pacific,Upper middle income,0.9728260869565217,0.391304347826087,0.6684782608695652,0.736141304347826,7
ARE,United Arab Emirates,Asia,2022,24922054.0,100.0,297019.0,192.0,9441138,31460.084578787,20.33653146474504,4.67550945,Middle East & North Africa,High income,0.9972826086956522,0.31521739130434784,0.6793478260869565,0.7313858695652173,8
TLS,East Timor,Asia,2022,1984560.0,58.93,3555.0,16.0,1341298,2650.417729691687,11.928743649807872,14.32454681,East Asia & Pacific,Lower middle income,0.5543478260869565,0.9782608695652174,0.7554347826086957,0.7206521739130435,9
NRU,Nauru,Oceania,2022,25172.0,67.65,4621.0,1.0,12691,364116.302891813,78.79599716334411,18.17031097,East Asia & Pacific,High income,0.6684782608695652,0.9891304347826086,0.5652173913043479,0.7176630434782608,10
NPL,Nepal,Asia,2022,60184003.0,78.75,173695.0,434.0,30547586,5686.046681397345,14.207341948394877,6.65589333,South Asia,Lower middle income,0.8260869565217391,0.5108695652173914,0.7228260869565217,0.716304347826087,11
MDV,Maldives,Asia,2022,951419.0,73.52,90814.0,50.0,523798,173375.9960900958,95.45664550074648,9.65276241,South Asia,Upper middle income,0.75,0.8315217391304348,0.5489130434782609,0.710054347826087,12
RWA,Rwanda,Africa,2022,26106436.0,67.32,28408.0,121.0,13776702,2062.0319725286936,8.782943842437762,7.8792119,Sub-Saharan Africa,Low income,0.657608695652174,0.6847826086956522,0.7663043478260869,0.6970108695652173,13
CAN,Canada,North America,2022,96303716.0,82.52,2514662.0,18901.0,38454328,65393.47144487871,491.5181458898463,11.23432541,North America,High income,0.8804347826086957,0.9402173913043478,0.2119565217391305,0.6948369565217392,14
SLV,El Salvador,North America,2022,11289175.0,68.56,80044.0,412.0,6336393,12632.423525497868,65.02121948559693,9.84079742,Latin America & Caribbean,Upper middle income,0.6793478260869565,0.8586956521739131,0.5706521739130435,0.6915760869565217,15
BTN,Bhutan,Asia,2022,2011426.0,86.61,59871.0,18.0,782457,76516.66481352969,23.004459030975504,4.38545895,South Asia,Lower middle income,0.9402173913043478,0.2554347826086957,0.6739130434782609,0.6891304347826086,16
PRT,Portugal,Europe,2022,28058542.0,86.7,4267920.0,6885.0,10270857,415536.89239369216,670.3432829412385,10.46883011,Europe & Central Asia,High income,0.9456521739130435,0.9021739130434783,0.11956521739130432,0.6869565217391305,17
ESP,Spain,Europe,2022,104186558.0,85.62,7654824.0,27668.0,47558632,160955.51276580035,581.7661029442562,9.73828793,Europe & Central Asia,High income,0.9347826086956522,0.8532608695652174,0.1684782608695652,0.6845108695652175,18
URY,Uruguay,South America,2022,8785446.0,84.79,605249.0,1400.0,3422796,176828.82649155837,409.022331450662,8.94532204,Latin America & Caribbean,High income,0.9184782608695652,0.7771739130434783,0.2554347826086957,0.6842391304347826,19
KOR,South Korea,Asia,2022,129647782.0,85.6,28047388.0,26582.0,51815808,541290.1792441411,513.0094661459299,9.43414211,East Asia & Pacific,High income,0.9293478260869565,0.8097826086956522,0.2065217391304348,0.682608695652174,20
ECU,Ecuador,South America,2022,39296436.0,78.97,499095.0,2287.0,18001002,27725.95658841658,127.04848318999132,7.53457022,Latin America & Caribbean,Upper middle income,0.8315217391304348,0.6304347826086957,0.4945652173913043,0.680163043478261,21
ARG,Argentina,South America,2022,112937078.0,76.48,4331223.0,12294.0,45510324,95170.12008088538,270.13650792730016,9.86305332,Latin America & Caribbean,Upper middle income,0.7934782608695652,0.8641304347826086,0.3532608695652174,0.6790760869565218,22
BRA,Brazil,South America,2022,480333910.0,81.22,13893600.0,74351.0,215313504,64527.304334799184,345.3150806556007,9.14277458,Latin America & Caribbean,Upper middle income,0.8695652173913043,0.7934782608695652,0.2934782608695652,0.6777173913043478,23
MLT,Malta,Europe,2022,1376966.0,88.38,68801.0,341.0,533293,129011.63150463256,639.4233563913272,9.52376747,Middle East & North Africa,High income,0.9619565217391305,0.8206521739130435,0.125,0.6755434782608696,24
NZL,New Zealand,Oceania,2022,11956243.0,79.81,2014452.0,2238.0,5185289,388493.6789444137,431.6056443527063,10.02858067,East Asia & Pacific,High income,0.8369565217391305,0.8858695652173914,0.24456521739130432,0.6714673913043478,25
BEL,Belgium,Europe,2022,29498086.0,78.61,2631362.0,5048.0,11655923,225753.20718916896,433.0845356476703,10.76192474,Europe & Central Asia,High income,0.8206521739130435,0.9184782608695652,0.23913043478260865,0.6706521739130434,26
